Q2 beta x xp*sigmaD(3) dstat dsys dtot
20.0 0.9 0.00130 0.0363 12.7 7.0 14.5
20.0 0.9 0.00200 0.0364 12.5 9.1 15.5
20.0 0.9 0.00320 0.0172 65.1 6.5 65.5
20.0 0.9 0.00500 0.0263 17.8 7.2 19.2
25.0 0.04 0.00050 0.0371 7.3 6.6 9.8
25.0 0.04 0.00080 0.0340 6.0 9.6 11.3
25.0 0.04 0.00130 0.0320 6.9 14.1 15.7
25.0 0.04 0.00200 0.0341 9.2 24.7 26.4
25.0 0.1 0.00050 0.0266 10.4 3.3 10.9
25.0 0.1 0.00080 0.0308 7.9 5.7 9.7
25.0 0.1 0.00130 0.0250 7.9 5.9 9.9
25.0 0.1 0.00200 0.0238 8.0 11.6 14.1
25.0 0.1 0.00320 0.0234 8.5 15.2 17.4
25.0 0.2 0.00050 0.0379 8.6 3.0 9.1
25.0 0.2 0.00080 0.0296 9.6 2.7 10.0
25.0 0.2 0.00130 0.0278 7.5 4.4 8.7
25.0 0.2 0.00200 0.0261 7.1 5.4 8.9
25.0 0.2 0.00320 0.0252 7.3 8.8 11.5
25.0 0.2 0.00500 0.0259 7.7 12.5 14.6
25.0 0.4 0.00032 0.0727 35.7 8.6 36.7
25.0 0.4 0.00050 0.0600 12.4 4.1 13.1
25.0 0.4 0.00080 0.0463 8.4 3.9 9.3
25.0 0.4 0.00130 0.0360 8.7 3.4 9.3
25.0 0.4 0.00200 0.0275 8.7 3.5 9.3
25.0 0.4 0.00320 0.0288 8.3 4.9 9.7
25.0 0.4 0.00500 0.0248 8.8 6.2 10.7
25.0 0.65 0.00050 0.0531 9.7 4.9 10.9
25.0 0.65 0.00080 0.0497 8.4 5.0 9.8
25.0 0.65 0.00130 0.0450 8.6 2.6 9.0
25.0 0.65 0.00200 0.0384 8.8 3.7 9.5
25.0 0.65 0.00320 0.0333 9.3 4.3 10.2
25.0 0.65 0.00500 0.0330 9.4 4.7 10.5
25.0 0.9 0.00050 0.0349 28.5 22.0 36.0
25.0 0.9 0.00080 0.0332 16.7 12.0 20.6
25.0 0.9 0.00130 0.0360 14.7 10.8 18.2
25.0 0.9 0.00200 0.0259 14.6 8.9 17.1
25.0 0.9 0.00320 0.0232 14.8 7.5 16.6
25.0 0.9 0.00500 0.0257 15.9 7.9 17.8
35.0 0.04 0.00050 0.0326 14.9 7.2 16.5
35.0 0.04 0.00080 0.0377 7.5 8.7 11.5
35.0 0.04 0.00130 0.0411 7.3 14.2 16.0
35.0 0.04 0.00200 0.0361 9.5 23.6 25.5
35.0 0.1 0.00050 0.0373 18.1 6.8 19.3
35.0 0.1 0.00080 0.0301 9.1 4.2 10.1
