0 4 2.30e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00, 5.00e-01, 5.00e-01, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=387.

    1.486e+04 (39.106), in 8.7e-01 sec
112 4 1.90e+01, 2.88e-01, 3.02e+00, 1.26e+00, 2.00e+00, 7.24e-03, 2.33e-01,     1.070e+03 (2.816), in 2.2e-01 sec
113 4 1.91e+01, 2.93e-01, 2.98e+00, 1.26e+00, 2.00e+00, 6.69e-03, 2.16e-01,     1.056e+03 (2.779), in 2.2e-01 sec
114 4 1.89e+01, 2.93e-01, 3.06e+00, 1.26e+00, 2.00e+00, 3.16e-02, 2.08e-01,     1.072e+03 (2.821), in 2.2e-01 sec
115 4 1.91e+01, 2.91e-01, 2.97e+00, 1.26e+00, 2.00e+00, 3.08e-03, 2.25e-01,     1.057e+03 (2.783), in 2.2e-01 sec
116 4 1.90e+01, 2.92e-01, 2.96e+00, 1.26e+00, 2.00e+00, 3.75e-03, 2.19e-01,     1.061e+03 (2.793), in 2.3e-01 sec
117 4 1.90e+01, 2.92e-01, 2.98e+00, 1.26e+00, 2.00e+00, 5.38e-03, 2.19e-01,     1.052e+03 (2.769), in 2.2e-01 sec
118 4 1.90e+01, 2.92e-01, 3.01e+00, 1.26e+00, 2.00e+00, 1.50e-02, 2.13e-01,     1.057e+03 (2.782), in 2.2e-01 sec
119 4 1.90e+01, 2.92e-01, 3.00e+00, 1.26e+00, 2.00e+00, 1.12e-02, 2.16e-01,     1.051e+03 (2.767), in 2.2e-01 sec
120 4 1.89e+01, 2.90e-01, 3.02e+00, 1.26e+00, 2.00e+00, 1.12e-02, 2.21e-01,     1.051e+03 (2.765), in 2.2e-01 sec
121 4 1.90e+01, 2.91e-01, 2.95e+00, 1.26e+00, 2.00e+00, 1.89e-03, 2.20e-01,     1.073e+03 (2.822), in 2.2e-01 sec
122 4 1.90e+01, 2.91e-01, 3.02e+00, 1.26e+00, 2.00e+00, 1.23e-02, 2.19e-01,     1.049e+03 (2.761), in 2.2e-01 sec
123 4 1.90e+01, 2.91e-01, 3.05e+00, 1.26e+00, 2.00e+00, 9.58e-03, 2.27e-01,     1.047e+03 (2.755), in 2.2e-01 sec
124 4 1.89e+01, 2.91e-01, 3.10e+00, 1.26e+00, 2.00e+00, 1.06e-02, 2.33e-01,     1.049e+03 (2.761), in 2.3e-01 sec
125 4 1.89e+01, 2.91e-01, 3.06e+00, 1.26e+00, 2.00e+00, 1.50e-02, 2.24e-01,     1.050e+03 (2.764), in 2.2e-01 sec
126 4 1.90e+01, 2.90e-01, 3.06e+00, 1.26e+00, 2.00e+00, 9.31e-03, 2.31e-01,     1.051e+03 (2.765), in 2.2e-01 sec
127 4 1.90e+01, 2.91e-01, 3.06e+00, 1.26e+00, 2.00e+00, 8.59e-03, 2.30e-01,     1.055e+03 (2.776), in 2.2e-01 sec
128 4 1.90e+01, 2.90e-01, 3.03e+00, 1.26e+00, 2.00e+00, 1.05e-02, 2.23e-01,     1.048e+03 (2.758), in 2.2e-01 sec
129 4 1.90e+01, 2.92e-01, 3.01e+00, 1.26e+00, 2.00e+00, 1.09e-02, 2.17e-01,     1.051e+03 (2.765), in 2.2e-01 sec
130 4 1.90e+01, 2.90e-01, 3.05e+00, 1.26e+00, 2.00e+00, 9.70e-03, 2.27e-01,     1.048e+03 (2.759), in 2.2e-01 sec
131 4 1.90e+01, 2.91e-01, 3.00e+00, 1.26e+00, 2.00e+00, 4.77e-03, 2.25e-01,     1.049e+03 (2.761), in 2.2e-01 sec
132 4 1.89e+01, 2.90e-01, 3.05e+00, 1.26e+00, 2.00e+00, 1.51e-02, 2.22e-01,     1.051e+03 (2.765), in 2.2e-01 sec
133 4 1.90e+01, 2.91e-01, 3.02e+00, 1.26e+00, 2.00e+00, 6.77e-03, 2.25e-01,     1.048e+03 (2.757), in 2.2e-01 sec
134 4 1.90e+01, 2.90e-01, 3.04e+00, 1.26e+00, 2.00e+00, 4.81e-03, 2.32e-01,     1.047e+03 (2.755), in 2.3e-01 sec
135 4 1.89e+01, 2.90e-01, 3.08e+00, 1.26e+00, 2.00e+00, 1.24e-02, 2.29e-01,     1.049e+03 (2.760), in 2.2e-01 sec
